date,event,jurisdiction,category,significance
2022-10,"US BIS export controls on advanced AI chips",United States,Trade/Export,First major restriction on AI chip exports targeting China
2022-03,"SEC Staff Accounting Bulletin 121 issued",United States,Accounting,Required safeguarding liability for crypto-asset custodians
2023-06,"EU MiCA regulation enters into force",European Union,Comprehensive,First comprehensive cross-border crypto regulation; full application from Dec 2024
2023-10,"SEC charges SolarWinds and CISO with fraud",United States,Enforcement,Signalled that crypto and cyber governance representations are within enforcement remit
2023-12,"FASB issues ASU 2023-08 on crypto assets",United States,Accounting,Replaced impairment model with fair value; effective date Dec 2024 for public firms
2024-01,"SEC approves spot Bitcoin ETFs",United States,Securities,11 spot Bitcoin ETFs approved; accumulated $51.3B net inflows by July 2026
2024-07,"SEC approves spot Ether ETFs",United States,Securities,Spot Ether ETFs launched; $11.0B net inflows by July 2026
2024-08,"EU AI Act enters into force",European Union,AI Regulation,Four-tier risk framework; prohibited practices from Feb 2025; high-risk rules from Aug 2026
2024-10,"US BIS expands AI chip export controls",United States,Trade/Export,Expanded controls to more countries and chip categories
2025-07,"Grayscale launches Decentralized AI Fund",United States,Investment Product,First dedicated AI-token investment fund for accredited investors; TAO 30.1% NEAR 28.5% RNDR 17.7%
2025-08,"EU AI Act GPAI obligations take effect",European Union,AI Regulation,Transparency and risk management obligations for general-purpose AI models
2025-10,"FASB Chair adds digital assets research project",United States,Accounting,Explored targeted improvements beyond ASU 2023-08
2026-08,"EU AI Act high-risk AI system rules fully applicable",European Union,AI Regulation,Full application for high-risk AI systems including governance data and documentation
